Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AA,"Alcoa Corp",13,-0.18,-1.37%,12.92,13.13,12.48,10357400,07/31/20
AAN,"Aaron's Inc",52.18,-0.58,-1.10%,52,52.88,50.89,1570000,07/31/20
AAOI,"Applied Optoelect",14.21,0.34,+2.45%,14.07,14.8,13.72,1207000,07/31/20
AAON,"Aaon Inc",59.25,1.01,+1.73%,57.67,59.3,57.67,261000,07/31/20
AAT,"American Assets Trust",27,0.67,+2.54%,26.12,27,25.88,447200,07/31/20
AAWW,"Atlas Air Ww",52.08,0.65,+1.26%,51.14,52.08,50.78,464100,07/31/20
ABCB,"Ameris Bancorp",23.07,-0.29,-1.24%,23.03,23.11,22.44,417500,07/31/20
ABEO,"Abeona Therapeutics",2.85,-0.04,-1.38%,2.88,2.9,2.74,651300,07/31/20
ABG,"Asbury Automotive Group Inc",100.15,-1.43,-1.41%,101.05,102.28,97.88,298200,07/31/20
ABM,"ABM Industries Incorporated",35.9,0.7,+1.99%,34.95,35.95,34.78,1278000,07/31/20
ABR,"Arbor Realty Trust",10.19,0.61,+6.37%,9.96,10.19,9.63,2980100,07/31/20
ABTX,"Allegiance Banc CS",24.39,-0.6,-2.40%,24.88,24.98,23.81,57000,07/31/20
AC,"Associated Capital Group Inc",40.44,1.06,+2.69%,39.66,40.44,39.33,13800,07/31/20
ACA,"Arcosa Inc",42.22,0.13,+0.31%,42.55,42.55,40.44,445900,07/31/20
ACBI,"Atlantic Capital",10,-0.3,-2.91%,10.19,10.29,9.81,73600,07/31/20
ACCO,"Acco Brands Corp",6.52,-0.38,-5.51%,6.8,6.91,6.46,441400,07/31/20
ACEL,"Accel Entertainment Inc.",7.99,-0.36,-4.31%,8.24,8.3,7.91,323700,07/31/20
ACIA,"Acacia Communica",67.98,0.32000000000001,+0.47%,67.69,68.22,67.51,677900,07/31/20
ACIW,"Aci Worldwide Inc",26.79,-0.59,-2.15%,27.25,27.25,26.41,1009500,07/31/20
ACLS,"Axcelis Tech Inc",29.42,0.13,+0.44%,29.32,29.46,28.47,336400,07/31/20
ACNB,"Acnb Corp",20.6,-0.56,-2.65%,21.22,21.5,20.09,26700,07/31/20
ACRE,"Ares Commercial Real Estate Cor",9.13,-0.049999999999999,-0.54%,9.23,9.36,8.9,346800,07/31/20
ACRX,"Acelrx Pharmaceutica",1.09,-0.04,-3.54%,1.1,1.12,1.08,690200,07/31/20
ACTG,"Acacia Res-Acacia",3.96,-0.08,-1.98%,4.02,4.04,3.89,227500,07/31/20
ADC,"Agree Realty Corp",66.97,-0.2,-0.30%,67.07,67.41,65.53,467200,07/31/20
ADES,"Advanced Emissions Solutions Inc",4.16,-0.11,-2.58%,4.26,4.27,4.02,153400,07/31/20
ADMA,"Adma Biologics",3.57,-0.17,-4.55%,3.72,4.13,3.55,15743600,07/31/20
ADNT,"Adient Plc",16.64,-0.53,-3.09%,16.9,17.12,16.08,1040300,07/31/20
ADRO,"Aduro Biotech",2.82,-0.04,-1.40%,2.82,2.84,2.74,222800,07/31/20
ADSW,"Advanced Disposal Services Inc",30.16,0,0.00%,30.19,30.19,30.11,1821400,07/31/20
ADTN,"Adtran Inc",12.42,0.17,+1.39%,12.25,12.45,12.08,309000,07/31/20
ADUS,"Addus Homecare Corp",96.41,-0.69,-0.71%,97.23,97.54,95.02,80300,07/31/20
ADVM,"Adverum Biotechnlgs",16.77,-0.89,-5.04%,17.74,17.74,16.55,1107200,07/31/20
AE,"Adams Resources & Energy",21.17,-0.73,-3.33%,21.5,21.61,21.17,3300,07/31/20
AEGN,"Aegion Corp",15.42,-0.3,-1.91%,15.51,15.73,14.88,124500,07/31/20
AEIS,"Advanced Energy",73.57,1.52,+2.11%,71.9,73.57,70.58,273500,07/31/20
AEL,"American Equity Investment Life",25.45,0.07,+0.28%,25.28,25.58,24.83,446300,07/31/20
AEO,"American Eagle Outfitters",10,-0.21,-2.06%,10.19,10.27,9.97,3536800,07/31/20
AERI,"Aerie Pharmaceuticals",11.56,-0.17,-1.45%,11.79,11.9,11.11,1141500,07/31/20
AFIN,"American Finance Trust Inc Cl A",7.3,-0.1,-1.35%,7.36,7.43,7.09,581300,07/31/20
AFMD,"Affimed N.V.",3.53,-0.17,-4.59%,3.68,3.73,3.45,1061800,07/31/20
AGEN,"Agenus Inc",3.04,-0.1,-3.18%,3.11,3.16,3,1773400,07/31/20
AGFS,"Agrofresh Solutions",2.44,0,0.00%,2.45,2.5,2.42,65100,07/31/20
AGLE,"Aeglea Biothera",6.85,-0.12,-1.72%,6.96,7.01,6.65,194500,07/31/20
AGM,"Federal Agricultural Mortgage Corp",59.51,-0.52,-0.87%,59.23,60.28,58.25,48500,07/31/20
AGRX,"Agile Therap",2.5,-0.05,-1.96%,2.58,2.59,2.4,1279800,07/31/20
AGS,"Playags Inc",3.38,-0.13,-3.70%,3.51,3.51,3.27,270900,07/31/20
AGTC,"Applied Genetic Tech",5.28,-0.04,-0.75%,5.31,5.45,5.07,222300,07/31/20
AGX,"Argan Inc",42.9,0.15,+0.35%,42.78,43.01,41.99,68900,07/31/20
AGYS,"Agilysys Inc",20.96,-0.13,-0.62%,21.03,21.45,20.5,257200,07/31/20
AHCO,"Adapthealth Corp. Cl. A",19.48,-0.009999999999998,-0.05%,19.45,19.52,18.61,457700,07/31/20
AHH,"Armada Hoffler Properties Inc",9.64,-0.17,-1.73%,9.76,9.77,9.27,483600,07/31/20
AI,"Arlington Asset Investment Corp",2.72,-0.2,-6.85%,2.86,2.91,2.72,430500,07/31/20
AIMC,"Altra Indtl Mtn",34.23,-1.79,-4.97%,35.72,36.05,33.61,449500,07/31/20
AIMT,"Aimmune Therap",13.21,-0.83,-5.91%,13.9,13.92,12.78,2216700,07/31/20
AIN,"Albany International Corp",48.08,-0.090000000000003,-0.19%,47.67,48.4,46.31,443200,07/31/20
AIR,"AAR Corp",17.22,0.44,+2.62%,16.73,17.28,16.53,335100,07/31/20
