Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ZYXI,"Zynex Inc",19.12,0.25,+1.32%,19.5,19.81,18.77,883200,07/31/20
ZUO,"Zuora Inc",11.64,0.27,+2.37%,11.53,11.65,11.15,907200,07/31/20
ZUMZ,"Zumiez Inc",23.1,-0.76,-3.19%,23.72,24.4,22.76,352900,07/31/20
ZNTL,"Zentalis Pharmaceuticals Inc",34.5,-0.56,-1.60%,35.5,36,33.65,320100,07/31/20
ZIXI,"Zix Corp",7.11,0.26,+3.80%,6.96,7.2,6.81,1143100,07/31/20
ZIOP,"Ziopharm Oncology IN",2.97,-0.1,-3.26%,3.05,3.06,2.9,1645400,07/31/20
ZGNX,"Zogenix Inc",23.79,-0.56,-2.30%,24.29,24.63,23.66,869300,07/31/20
ZEUS,"Olympic Steel Inc",10.58,0.16,+1.54%,10.48,10.73,10.03,48000,07/31/20
YORW,"York Water Company",46.31,-0.9,-1.91%,47.14,48.09,45.31,64100,07/31/20
YMAB,"Y-Mabs Therapeutics Inc",35.13,-0.7,-1.95%,35.93,35.96,33.71,185400,07/31/20
YEXT,"Yext Inc",16.82,0.31,+1.88%,16.61,16.84,16.26,591800,07/31/20
YETI,"Yeti Holdings Inc",48.89,0.86,+1.79%,48.26,48.96,47.21,1301200,07/31/20
YELP,"Yelp Inc",24.98,-0.009999999999998,-0.04%,25.31,25.31,24.09,1018200,07/31/20
XPER,"Xperi Holding Corp.",18.44,0.18,+0.99%,18.3,18.45,17.88,974200,07/31/20
XPEL,"Xpel Technologies",16.83,0.069999999999997,+0.42%,16.77,16.83,16.2,128800,07/31/20
XONE,"The Exone Company",8.76,-0.21,-2.34%,8.91,8.93,8.48,78000,07/31/20
XOMA,"Xoma Corp",16.7,-0.59,-3.41%,17.09,17.75,16.52,26200,07/31/20
XNCR,"Xencor Inc",30.09,-1.55,-4.90%,31.54,31.76,29.28,357900,07/31/20
XHR,"Xenia Hotels & Resorts Inc",7.96,-0.24,-2.93%,7.94,8.07,7.7,973000,07/31/20
XGN,"Exagen Inc",12.45,-0.3,-2.35%,12.81,13.2,12.41,20800,07/31/20
XFOR,"X4 Pharmaceuticals Inc",7.42,-0.31,-4.01%,7.68,7.89,7.25,121900,07/31/20
XERS,"Xeris Pharmaceuticals Inc",2.86,-0.04,-1.38%,2.84,2.87,2.73,1287400,07/31/20
XENT,"Intersect Ent Inc",17.19,-0.46,-2.61%,17.51,17.65,16.95,231800,07/31/20
XCUR,"Exicure Inc",2.24,-0.04,-1.75%,2.25,2.33,2.2,149000,07/31/20
XBIT,"Xbiotech Inc",14.54,-0.13,-0.89%,14.7,14.92,14.22,109800,07/31/20
XAIR,"Beyond Air Inc",6.21,-0.19,-2.97%,6.5,6.5,6.16,147800,07/31/20
X,"United States Steel Corp",6.66,-0.7,-9.51%,7.35,7.4,6.63,25113700,07/31/20
WWW,"Wolverine World Wide",24.04,-0.59,-2.40%,24.27,24.52,23.6,548200,07/31/20
WW,"Weight Watchers International Inc",25.78,-0.27,-1.04%,25.97,26.26,25.39,685200,07/31/20
WVE,"Wave Life Sci Ord Sh",8.78,-0.12,-1.35%,9.05,9.06,8.72,324500,07/31/20
WTTR,"Select Energy Services Inc",4.44,-0.36,-7.50%,4.63,4.75,4.38,337800,07/31/20
WTS,"Watts Water Technologies",83.89,0.16,+0.19%,83.57,83.92,82.88,185200,07/31/20
WTRH,"Waitr Holdings Inc",5.34,0.02,+0.38%,5.19,5.55,5,5074700,07/31/20
WTRE,"Watford Holdings Ltd",16.41,-1.28,-7.24%,17.61,17.95,16.2,34400,07/31/20
WTI,"W&T Offshore",2.26,-0.01,-0.44%,2.22,2.26,2.2,2287200,07/31/20
WTBA,"West Bancorp",16.41,-0.23,-1.38%,16.48,16.83,16.12,40400,07/31/20
WSR,"Whitestone REIT",6.6,-0.12,-1.79%,6.68,6.72,6.44,352700,07/31/20
WSFS,"WSFS Financial Corp",28.53,-0.17,-0.59%,28.4,28.74,27.85,310400,07/31/20
WSC,"Willscot Corp",15.06,-0.039999999999999,-0.26%,15.02,15.11,14.71,3133300,07/31/20
WSBF,"Waterstone Financial",15.28,-0.24,-1.55%,15.33,15.69,15.1,93900,07/31/20
WSBC,"Wesbanco Inc",19.83,-0.41,-2.03%,20.31,20.43,19.61,245400,07/31/20
WRTC,"Wrap Technologies Inc",9.8,-1.69,-14.71%,10.99,11,9.69,2207500,07/31/20
WRLD,"World Acceptance Cp",74.3,-1.9,-2.49%,75.74,75.87,73.44,54300,07/31/20
WRE,"Washington Real Estate Investment",22.36,0,0.00%,22.35,22.37,21.6,542200,07/31/20
WOW,"Wideopenwest Inc",5.46,-0.26,-4.55%,5.7,5.7,5.35,210700,07/31/20
WOR,"Worthington Industries",37.42,-0.29,-0.77%,37.35,37.44,36.29,527500,07/31/20
WNEB,"Western New England Bancorp Inc",5.04,0.02,+0.40%,5,5.08,4.93,69200,07/31/20
WNC,"Wabash National Corp",11.39,-1.08,-8.66%,12.39,12.43,11.01,1203200,07/31/20
WMS,"Advanced Drainage Systems Inc",49,-0.66,-1.33%,49.52,49.63,48.08,453500,07/31/20
WMK,"Weis Markets",49.82,-0.33,-0.66%,49.99,50.48,48.92,107700,07/31/20
WMGI,"Wright Med Grp NV",30.02,0.02,+0.07%,29.99,30.1,29.99,1401400,07/31/20
WMC,"Western Asset Mortgage Capital",2.11,-0.06,-2.76%,2.17,2.19,2.05,1058900,07/31/20
WLL,"Whiting Petroleum Corp",0.78,-0.031,-3.82%,0.8106,0.8195,0.76,3123200,07/31/20
WLFC,"Willis Lease Fin C",19.5,-1.13,-5.48%,21.94,21.94,19.41,14500,07/31/20
WLDN,"Willdan Group Inc",24.66,-1.36,-5.23%,25.74,25.79,24.4,41200,07/31/20
WKHS,"Workhorse Grp",15.52,-0.9,-5.48%,16.55,16.79,15.38,10567700,07/31/20
WK,"Workiva Llc",55.9,0.21,+0.38%,56.06,56.25,54.36,201500,07/31/20
WIRE,"Encore Wire Cp",50.19,0.66,+1.33%,49.7,50.28,48.57,123000,07/31/20
WING,"Wingstop Inc",156.25,-2.49,-1.57%,159.45,159.94,154.5,576200,07/31/20
WINA,"Winmark Corp",158.98,-0.52000000000001,-0.33%,157.61,159.99,157,20100,07/31/20
WIFI,"Boingo Wireless Inc",14.45,0.049999999999999,+0.35%,14.3,14.52,14.23,473600,07/31/20
WHG,"Westwood Holdings Group Inc",11.36,-0.21,-1.82%,11.7,11.7,10.94,54000,07/31/20
WHD,"Cactus Inc Cl A",22.62,0.080000000000002,+0.35%,23.62,23.62,22.1,387200,07/31/20
WGO,"Winnebago Industries",60.41,-1.33,-2.15%,61.78,61.78,58.64,698700,07/31/20
WEYS,"Weyco Gp Inc",18.42,-0.7,-3.66%,19.08,19.08,18.33,14600,07/31/20
WETF,"Wisdomtree Invstmnts",3.6,0.05,+1.41%,3.5,3.64,3.46,1233500,07/31/20
WERN,"Werner Enterprise",43.98,-0.54000000000001,-1.21%,44.42,45.35,42.86,1246500,07/31/20
WDR,"Waddell & Reed Financial",14.59,0.039999999999999,+0.27%,14.53,14.68,14.44,1009600,07/31/20
WDFC,"W D 40 Company",196.55,5.99,+3.14%,191.49,196.57,191.01,150400,07/31/20
WD,"Walker & Dunlop",50.41,0.23,+0.46%,49.89,50.5,48.92,142000,07/31/20
WCC,"Wesco International",38.87,-0.49,-1.24%,38.89,39.29,37.72,662200,07/31/20
WBT,"Welbilt Inc",6.08,-0.23,-3.65%,6.2,6.26,6.01,1684300,07/31/20
WASH,"Washington TR Bncorp",33.34,0.47000000000001,+1.43%,32.64,33.37,32.64,104300,07/31/20
WAFD,"Washington Federal",23.34,0.28,+1.21%,22.9,23.37,22.5,638900,07/31/20
WABC,"Westamerica Bancorp",60.36,-0.65,-1.07%,60.27,60.68,59.32,138600,07/31/20
VYGR,"Voyager Therapeut",11.07,-0.38,-3.32%,11.43,11.43,10.87,237900,07/31/20
VXRT,"Vaxart Inc",9.39,-0.53,-5.34%,9.97,10.15,9.34,9297300,07/31/20
VVNT,"Vivint Smart Home Inc.",15.35,-0.83,-5.13%,15.99,16.22,14.81,270400,07/31/20
VVI,"Viad Corp",14.46,-0.48,-3.21%,14.73,14.79,14.04,239800,07/31/20
VTVT,"Vtv Theraptcs Cl A",2.35,-0.3,-11.32%,2.7,2.79,2.32,695300,07/31/20
VTOL,"Bristow Group Inc.",16.01,-0.46,-2.79%,16.2,16.2,15.64,116500,07/31/20
VSTO,"Vista Outdoor Inc",17.15,0.24,+1.42%,16.94,17.2,16.41,835400,07/31/20
VSTM,"Verastem Inc",1.34,-0.01,-0.74%,1.34,1.365,1.32,3037500,07/31/20
VSLR,"Vivint Solar Inc",20.34,0.27,+1.35%,20.01,20.61,19.6,2737600,07/31/20
VSH,"Vishay Intertechnology",15.69,0.039999999999999,+0.26%,15.59,15.7,15.34,726400,07/31/20
VSEC,"V S E Cp",28.13,-1.56,-5.25%,29.42,29.42,27.79,19100,07/31/20
VRTV,"Veritiv Corp",15.31,-0.17,-1.10%,15.2,15.59,14.77,118500,07/31/20
VRTU,"Virtusa Corp",40.6,5.33,+15.11%,39.95,43.02,37.35,1534000,07/31/20
VRTS,"Virtus Inv Partners",135.92,-0.18000000000001,-0.13%,135.47,136.41,132.48,30400,07/31/20
VRS,"Verso Corp",12.21,-0.11,-0.89%,12.2,12.26,12.06,233900,07/31/20
VRRM,"Verra Mobility Corp",10.23,-0.13,-1.25%,10.3,10.34,9.91,828600,07/31/20
VRNT,"Verint Systems Inc",44.89,0.37,+0.83%,44.5,44.93,42.7,492000,07/31/20
VRNS,"Varonis Systems Inc",108.35,1.22,+1.14%,107.74,108.78,105.33,261800,07/31/20
VREX,"Varex Imaging Corp",15.68,-0.18,-1.13%,15.77,15.81,15.31,304900,07/31/20
VRCA,"Verrica Pharmaceuticals Inc",6.56,-0.36,-5.20%,6.95,6.95,6.36,249500,07/31/20
VRAY,"Viewray Inc",2.77,0.33,+13.52%,2.5,2.84,2.46,2237500,07/31/20
VRA,"Vera Bradley",4.38,0.11,+2.58%,4.25,4.39,4.2,219500,07/31/20
VPG,"Vishay Precision Group",25.45,0.15,+0.59%,25.17,25.47,24.54,98600,07/31/20
VOXX,"Voxx Intl Corp",6.52,-0.32,-4.68%,6.8,6.81,6.44,102500,07/31/20
VNRX,"Volitionrx Ltd",3.23,-0.05,-1.52%,3.28,3.28,3.13,213300,07/31/20
VNDA,"Vanda Pharmaceuticals",10.08,-0.23,-2.23%,10.27,10.32,9.9,579200,07/31/20
VMD,"Viemed Healthcare Inc",10.84,-0.16,-1.45%,11.21,11.21,10.44,245000,07/31/20
VLY,"Valley National Bancorp",7.47,-0.06,-0.80%,7.47,7.53,7.31,2635800,07/31/20
VLGEA,"Village Super Mkt",25.25,-0.44,-1.71%,25.74,25.96,24.93,40500,07/31/20
VKTX,"Viking Thera",7.02,-0.52,-6.90%,7.43,7.47,6.95,1740600,07/31/20
VIVO,"Meridian Bioscience",24.49,-0.46,-1.84%,24.95,25.13,23.97,501800,07/31/20
